date,flickr page,full referrer,referrer domain,search term,count
2011-02-08,http://www.flickr.com/photos/bnewendorp/3876742176/,"http://images.google.com/images?q=zip-tie+fix","images.google.com","zip-tie fix",2
2011-02-08,http://www.flickr.com/photos/bnewendorp/3876742176/,"http://images.google.com/images?q=bumper+repair+zip-tie","images.google.com","bumper repair zip-tie",1
2011-02-08,http://www.flickr.com/photos/bnewendorp/3876740462/,"http://images.search.yahoo.com/search/images?ei=UTF-8&p=199+travis","images.search.yahoo.com","199 travis",2
2011-02-08,http://www.flickr.com/photos/bnewendorp/3459118305/,"unknown","unknown","",1
2011-02-08,http://www.flickr.com/photos/bnewendorp/3875950355/,"http://flickr.com/photos/bnewendorp/3876742032/","flickr.com","",1
2011-02-08,http://www.flickr.com/photos/bnewendorp/3876740204/,"http://images.google.com/images?q=travis+pastrana+subaru","images.google.com","travis pastrana subaru",1
2011-02-08,http://www.flickr.com/photos/bnewendorp/3876742032/,"http://flickr.com/photos/bnewendorp/3876742176/","flickr.com","",1
2011-02-08,http://www.flickr.com/photos/bnewendorp/4552882291/,"unknown","unknown","",1
2011-02-08,http://www.flickr.com/photos/bnewendorp/4552898007/,"unknown","unknown","",1
2011-02-08,http://www.flickr.com/photos/bnewendorp/4552900021/,"unknown","unknown","",1
2011-02-08,http://www.flickr.com/photos/bnewendorp/4552906257/,"unknown","unknown","",1
2011-02-08,http://www.flickr.com/photos/bnewendorp/4553524974/,"unknown","unknown","",1
2011-02-08,http://www.flickr.com/photos/bnewendorp/4553526830/,"unknown","unknown","",1
2011-02-08,http://www.flickr.com/photos/bnewendorp/4553528924/,"unknown","unknown","",1
2011-02-08,http://www.flickr.com/photos/bnewendorp/4553550722/,"unknown","unknown","",1
2011-02-08,http://www.flickr.com/photos/bnewendorp/4554843105/,"unknown","unknown","",1
2011-02-08,http://www.flickr.com/photos/bnewendorp/4554846821/,"unknown","unknown","",1
